"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
8291,Márketing en el Punto de Venta,MPV,,1º de CFGS (Gestión Comercial y Marketing)
8292,Gestión de la Compraventa,GEC,,1º de CFGS (Gestión Comercial y Marketing)
8290,Logística Comercial,LOC,,1º de CFGS (Gestión Comercial y Marketing)
8280,Francés,FRA,,1º de CFGS (Gestión Comercial y Marketing)
8281,Inglés,ING,,1º de CFGS (Gestión Comercial y Marketing)
8282,Alemán,ALE,,1º de CFGS (Gestión Comercial y Marketing)
8283,Italiano,ITA,,1º de CFGS (Gestión Comercial y Marketing)
8284,Formación y Orientación Laboral,FOL,,1º de CFGS (Gestión Comercial y Marketing)
8285,Portugués,POR,,1º de CFGS (Gestión Comercial y Marketing)
8287,Aplicaciones Informáticas de Propósito General,AIG,,1º de CFGS (Gestión Comercial y Marketing)
8288,Investigación Comercial,INC,,1º de CFGS (Gestión Comercial y Marketing)
8289,Políticas de Márketing,POM,,1º de CFGS (Gestión Comercial y Marketing)
8102,Fundamentos Biológicos y Bases del Acondicionamiento Físico,FBI,,1º de CFGS (Animación de Actividades Físicas y Deportivas)
8103,Metodología Didáctica de las Actividades Físico-Deportivas,MDF,,1º de CFGS (Animación de Actividades Físicas y Deportivas)
8100,Actividades Físico-Deportivas Individuales,AFI,,1º de CFGS (Animación de Actividades Físicas y Deportivas)
8099,Juegos y Actividades Físicas Recreativas para Animación,JAR,,1º de CFGS (Animación de Actividades Físicas y Deportivas)
7615,Formación en Centros de Trabajo,FCT,,2º de CFGS (Gestión Comercial y Marketing)
7573,Organización Gestión de Pequeña Empresa Tiempo Libre y Socioeducativas,ETL,,2º de CFGS (Animación de Actividades Físicas y Deportivas)
7574,Primeros Auxilios y Socorrismo Acuático,ASA,,2º de CFGS (Animación de Actividades Físicas y Deportivas)
7587,Formación en Centros de Trabajo,FCT,,2º de CFGS (Administración y Finanzas)
7572,Actividades Físicas para Personas con Discapacidades,AFP,,2º de CFGS (Animación de Actividades Físicas y Deportivas)
7569,Formación en Centros de Trabajo,FCT,,2º de CFGS (Animación de Actividades Físicas y Deportivas)
7498,Formación en Centros de Trabajo,FCT,DEPARTAMENTO DE COMERCIO Y MARKETING,2º de CFGM (Comercio)
